Date,IPO Name,"Issue Size 						  (in crores)",QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,"Listing  						  Gains(%)",CMP,"Current 						  Gains (%)"
29-07-2021,Tatva Chintan,500,2.55,9.78,13.36,9.5,1083,2111.8,2310.25,113.32,"2,268.50",109.46
23-07-2021,Zomato,9375,51.79,32.96,7.45,38.25,76,115,125.85,65.59,133.35,75.46
19-07-2021,Clean Science,1546,156.37,206.43,9,93.41,900,1784.4,1585.2,76.13,"1,682.80",86.98
19-07-2021,G R Infra,963.28,93.18,73.01,4.89,43.48,837,1700,1746.8,108.7,"1,730.85",106.79
07-07-2021,India Pesticide,800,2.64,1.36,4.4,3.25,296,360,335.45,13.33,337.4,13.99
05-07-2021,Krishna Inst.,2146,5.26,1.89,2.9,3.86,825,1009,1096.8,32.95,"1,206.60",46.25
28-06-2021,Dodla Dairy,521,84.88,73.26,11.34,45.62,428,550,609.1,42.31,617.5,44.28
24-06-2021,Shyam Metalics,909,62.18,172.51,5.29,56.56,306,380,375.85,22.83,436.1,42.52
24-06-2021,Sona BLW,5550,1.57,0.22,0.66,1.04,291,302.4,362.85,24.69,438.9,50.82
14-05-2021,PowerGrid InvIT,7734.99,0,0,0,0,100,104,102.98,2.98,119,19
19-04-2021,Macrotech Dev,2500,3.05,1.44,0.4,1.36,486,439,463.15,-4.7,853.45,75.61
07-04-2021,Barbeque Nat,453.6,0,0,0,0,500,492,590.4,18.08,878.7,75.74
30-03-2021,Nazara,582.91,52.82,148.42,34.49,75.04,1101,1971,1576.8,43.22,"1,850.00",68.03
26-03-2021,Suryoday Small,582.34,2.18,1.31,3.09,2.37,305,274.75,276.2,-9.44,203.45,-33.3
26-03-2021,Kalyan Jeweller,1175,1.18,0.97,1.47,1.28,87,73.9,75.3,-13.45,70.9,-18.51
25-03-2021,Laxmi Organic,600,1.13,0.73,4.41,2.68,130,173,164.6,26.62,261.55,101.19
25-03-2021,Craftsman,823.7,0.56,0.05,1.04,0.69,1490,1440,1433,-3.83,"2,001.75",34.35
24-03-2021,Anupam Rasayan,760,30.8,62.06,4.62,23.86,555,534.7,525.9,-5.24,723.1,30.29
19-03-2021,Easy Trip,510,0,2.79,14.48,3.39,187,182,208.3,11.39,408.85,118.64
15-03-2021,MTAR Tech,596.41,52.01,522.35,12.78,133.18,575,990.05,1082.25,88.22,"1,438.85",150.23
05-03-2021,Heranba,60,25.98,108.72,4.82,33.13,627,900,812.25,29.55,810.15,29.21
26-02-2021,Railtel,819.24,22.03,51.4,7.08,20.68,94,109,121.4,29.15,139,47.87
25-02-2021,Nureca,100,0.24,17.1,74.29,17.98,400,634.95,666.65,66.66,"1,728.35",332.09
05-02-2021,Stove Kraft,412.63,8.02,32.72,26.04,18.03,385,498,445.95,15.83,772.15,100.56
03-02-2021,Home First,1153.72,52.53,39,6.59,26.66,518,612.15,527.4,1.81,600,15.83
02-02-2021,Indigo Paints,1170.56,96.21,115.76,6.5,54.84,1490,2607.5,3118.65,109.31,"2,595.00",74.16
29-01-2021,IRFC,4633,0.89,0.52,1.59,1.16,26,25,24.85,-4.42,23,-11.54
01-01-2021,Antony Waste,300.53,0.64,0.28,7.22,3.85,315,430,407.25,29.29,344.95,9.51
24-12-2020,Bectors Food,540.54,176.85,620.86,29.33,198.02,288,501,595.55,106.79,427.9,48.58
14-12-2020,Burger King,796.5,86.64,354.11,68.15,156.65,60,115.35,138.4,130.67,180.4,200.67
20-11-2020,Gland,6479.55,6.4,0.51,0.24,2.06,1500,1710,1820.45,21.36,"3,920.00",161.33
02-11-2020,Equitas Bank,517.6,3.91,0.22,2.08,1.95,33,31,32.75,-0.76,63.2,91.52
12-10-2020,UTI AMC,2159.88,3.34,0.93,2.32,2.31,554,476.2,476.6,-13.97,"1,042.05",88.1
12-10-2020,Mazagon Dock,443.69,89.71,678.88,35.63,157.41,145,216.25,173,19.31,259.5,78.97
05-10-2020,Angel Broking,600,5.74,0.69,4.31,3.94,306,275,275.85,-9.85,"1,186.85",287.86
01-10-2020,CAMS,2244.33,73.18,111.85,5.55,46.99,1230,1535,1401.6,13.95,"3,344.45",171.91
01-10-2020,Chemcon Special,318,113.54,449.14,41.21,149.33,340,731,584.8,72,502,47.65
21-09-2020,Route,600,89.76,192.81,12.67,73.3,350,708,651.1,86.03,"2,063.10",489.46
17-09-2020,Happiest Minds,702.02,77.43,351.46,70.94,150.98,166,351,371,123.49,"1,361.65",720.27
23-07-2020,Rossari,496.25,2.75,4.34,2.51,2.97,425,670,742.35,74.67,"1,243.35",192.55
16-03-2020,SBI Card,10286.2,57.18,45.23,2.5,26.54,755,658,683.2,-9.51,"1,036.45",37.28
30-12-2019,Prince Pipes,500,3.54,1.21,1.89,2.21,178,160,166.6,-6.4,685.7,285.22
12-12-2019,Ujjivan Small,750,110.72,473,49.09,165.68,37,58.75,55.9,51.08,28.8,-22.16
04-12-2019,CSB Bank,409.68,38.85,45.49,9.01,35.24,195,275,300.1,53.9,349.8,79.38
14-10-2019,IRCTC,635.04,108.79,354.52,14.94,111.95,320,644,728.6,127.69,"2,329.60",628
20-08-2019,Sterling & Wils,3125,1.02,0.89,0.3,0.85,780,700,725.35,-7.01,286.1,-63.32
04-07-2019,Indiamart Inter,474.12,30.83,62.13,14.07,36.21,973,1180,1302.55,33.87,"7,135.65",633.37
08-05-2019,Neogen,131.48,30.49,113.88,16.06,41.18,0,251,263.55,0,917,
15-04-2019,Metropolis,1200.18,8.88,3.03,2.21,5.84,880,960,959.55,9.04,"2,855.00",224.43
11-04-2019,Rail Vikas,430.88,1.36,0.8,2.92,1.82,19,19,19.05,0.26,29.65,56.05
01-04-2019,Embassy Office,4750,2.15,3.09,0.31,2.57,300,300,314.1,4.7,362.51,20.84
29-03-2019,MSTC,213.81,1.13,2.15,2.95,1.46,128,111,114.2,-10.78,284.05,121.91
07-02-2019,Chalet Hotels,1628.84,4.66,1.1,0.03,1.57,280,291,290.4,3.71,176.35,-37.02
04-02-2019,Xelpmoc Design,23,1.24,7.69,2.64,3.25,66,56,58.8,-10.91,418.9,534.7
08-10-2018,AAVAS Financier,1729.2,2.77,0.26,0.25,0.97,821,758,773.15,-5.83,"2,523.30",207.34
23-08-2018,CreditAccess Gr,1126.44,5.52,0.98,0.88,2.22,422,393,420.8,-0.28,662.45,56.98
30-07-2018,TCNS Clothing C,1121.98,13.47,5.08,0.67,5.27,716,715,657.8,-8.13,584.65,-18.34
02-07-2018,RITES,453.6,71.72,194.56,15.74,67.24,185,190,170.16,-8.02,276.9,49.68
02-07-2018,Fine Organics,597.87,12.86,21.01,1.62,8.99,783,815,822.8,5.08,"2,998.10",282.9
21-05-2018,Indostar Capita,1844,16.08,6.91,1.48,6.8,572,600.6,585.5,2.36,338.45,-40.83
05-04-2018,ICICI Securitie,4016,0.54,0.05,0.39,0.36,520,435,444.9,-14.44,731.6,40.69
04-04-2018,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,1.21,0,93.1,90,0,190.65,
28-03-2018,Hindustan Aeron,4229,1.73,0.03,0.39,0.99,1215,1159,1128.35,-7.13,"1,116.55",-8.1
27-03-2018,Bandhan Bank,4473,38.67,13.89,1.2,14.63,375,485,477.2,27.25,291.3,-22.32
23-03-2018,Bharat Dynamics,960.94,1.5,0.5,1.41,1.3,428,360,390.7,-8.71,419.9,-1.89
09-03-2018,HG Infra Engg,457.7,8.37,4.97,3.08,4.98,270,270,270.05,0.02,528.5,95.74
26-02-2018,Aster DM Health,980.14,2.1,0.55,1.18,1.31,190,182,179.85,-5.34,163.3,-14.05
08-02-2018,Galaxy Surfacta,937.09,54.67,6.96,6,20,1480,1525,1698.1,14.74,"3,120.00",110.81
30-01-2018,Amber Enterpris,600,174.99,519.26,11.65,165.42,859,1175,1237.25,44.03,"2,992.30",248.35
29-01-2018,Newgen Software,424.62,15.62,5.52,5.18,8.25,245,256,253,3.27,609,148.57
22-01-2018,Apollo Micro Sy,156,101.93,958.07,40.19,248.51,275,478,454.1,65.13,115.9,-57.85
29-12-2017,Astron Paper &,70,103.35,396.99,77.93,243.29,50,120.75,119.7,139.4,61.3,22.6
18-12-2017,Future Supply,649.69,12.36,11.15,3.28,7.56,664,674,685.8,3.28,82.85,-87.52
15-12-2017,Shalby,504.8,4.34,0.42,2.98,2.82,248,237,239.25,-3.53,193.8,-21.85
17-11-2017,HDFC Life,8695.01,16.6,2.29,0.9,4.89,290,313,344.25,18.71,665.1,129.34
14-11-2017,Khadim India,493.06,2.45,0.18,2.34,1.9,750,727,688.5,-8.2,293.85,-60.82
10-11-2017,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429,425,429.15,0.03,748.2,74.41
06-11-2017,Nippon,1542,118.41,209.44,5.23,81.33,252,289,284,12.7,399.95,58.71
25-10-2017,General Insuran,11372,2.25,0.22,0.63,1.38,912,870.4,435.2,-52.28,180.15,-80.25
23-10-2017,IEX,1000.7,2.56,0.85,2.61,2.28,1650,1500,162.65,-90.14,430.8,-73.89
16-10-2017,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460,615,595.55,29.47,694,50.87
05-10-2017,Prataap Snacks,481.94,76.89,101.15,7.62,46.97,938,1250,1178.3,25.62,740,-21.11
03-10-2017,SBI Life Insura,8400,12.56,0.7,0.81,3.55,700,735,708,1.14,"1,099.70",57.1
27-09-2017,ICICI Lombard,5700.94,8.93,0.83,1.23,2.98,661,651,681.55,3.11,"1,475.60",123.24
25-09-2017,Capacite Infra,400,131.32,638.05,17.57,183.03,250,360,342.4,36.96,228.35,-8.66
21-09-2017,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985,985,901.2,-8.51,"1,154.60",17.22
18-09-2017,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766,2725,578.56,-67.24,"4,300.95",143.54
18-09-2017,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205,205,208.15,1.54,34.8,-83.02
04-09-2017,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175,202,209.85,19.91,377.2,115.54
11-08-2017,Cochin Shipyard,1454,63.51,288.87,8.12,76.06,432,461,522,20.83,376.45,-12.86
10-08-2017,SIS,362.25,5.64,1.65,18.67,6.92,815,875,378.35,-53.58,485,-40.49
25-07-2017,Salasar Techno,35.87,0,487.18,58.59,277.28,108,259.45,272.1,151.94,342,216.67
10-07-2017,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358,544,541.2,51.17,"1,219.90",240.75
04-07-2017,GTPL Hathway,484.8,1.48,2.48,0.99,1.53,170,170,171.65,0.97,191.35,12.56
30-06-2017,CDSL,523.99,148.71,563.03,23.83,170.16,149,250,261.6,75.57,"1,331.45",793.59
29-06-2017,Eris Life,1741.1,4.68,0.45,3.51,3.29,603,612,601.05,-0.32,792.1,31.36
27-06-2017,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257,257.7,263.3,2.45,258.3,0.51
06-06-2017,IndiGrid InvIT,2250,1.14,1.6,0,1.35,100,99.7,95.08,-4.92,141.25,41.25
29-05-2017,PSP Projects,211.68,8.38,10.39,6.47,8.58,210,195,208.95,-0.5,464.75,121.31
19-05-2017,HUDCO,1224,55.45,330.36,10.79,79.53,58,76.5,72.5,25,45.3,-21.9
09-05-2017,S Chand and Co,325,44.27,204.65,6.07,59.49,670,675.85,675.85,0.87,141,-78.96
05-04-2017,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460,545,632.8,37.57,654.25,42.23
31-03-2017,CL Educate,238.95,3.65,0.21,1.63,1.9,500,398,417.9,-16.42,159.65,-68.07
21-03-2017,Avenue Supermar,1870,144.61,277.74,7.3,104.48,299,604,640.75,114.3,"3,500.55",1070.75
17-03-2017,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333,413,59.7,-82.07,24.6,-92.61
03-02-2017,BSE Limited,1243,48.64,159.03,6.48,51.22,806,1085,1069.2,32.66,"1,248.80",54.94
19-12-2016,Laurus Labs,560.7,10.54,3.57,1.58,4.53,428,489.9,96.1,-77.55,640.65,49.68
09-12-2016,Sheela Foam,178.5,14.51,3.35,0.44,5.09,730,860,1032,41.37,"2,385.00",226.71
08-11-2016,Varun Beverages,1114,4.94,0.42,0.82,1.86,445,430,205.29,-53.87,758.4,70.43
07-11-2016,PNB Housing Fin,3000,37.33,86.17,1.32,29.53,775,860,890.6,14.92,677.25,-12.61
19-10-2016,Endurance Techn,1161,1.7,0.13,0.82,0.92,472,572,647.7,37.22,"1,734.00",267.37
04-10-2016,HPL Electric &,361,5.77,22.2,3.31,8.06,202,190,189.05,-6.41,83.55,-58.64
29-09-2016,ICICI Prudentia,6057,11.83,28.55,1.42,10.48,334,329,297.65,-10.88,631.6,89.1
27-09-2016,GNA Axles,130.41,17.18,217.47,11.84,54.88,207,252,233.45,12.78,651,214.49
23-09-2016,L&T Technology,900,5.01,1.03,1.74,2.52,860,900,865.1,0.59,"3,720.00",332.56
31-08-2016,RBL Bank,1100,85.08,198.06,5.7,69.62,225,274.4,299.3,33.02,192.95,-14.24
12-08-2016,S P Apparels,215,1,0.45,0.54,0.66,268,275,295,10.07,324.05,20.91
11-08-2016,Dilip Buildcon,430,0,0,0,0,219,240,251.95,15.05,560,155.71
01-08-2016,Advanced Enzyme,60,94.03,393.1,11.67,116.02,896,1210,235.66,-73.7,399.45,-55.42
21-07-2016,L&T Infotech,1242,19.91,10.76,7.39,11.69,710,667,697.65,-1.74,"4,684.80",559.83
12-07-2016,Quess Corp,400,59.02,392.21,31.23,143.99,317,500,503,58.68,867.2,173.56
01-07-2016,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421,540,519.9,23.49,"1,165.95",176.95
19-05-2016,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215,230,247.8,15.26,138.55,-35.56
10-05-2016,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210,231.9,231.6,10.29,239.75,14.17
09-05-2016,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446,662,618.1,38.59,"1,306.50",192.94
21-04-2016,Equitas Holding,2159,14.93,57.29,1.4,17.21,110,145.1,135.25,22.95,128.5,16.82
01-04-2016,Bharat Wire Rop,70,1.01,2.02,2.08,1.21,45,47.25,45.4,0.89,79.05,75.67
18-02-2016,Quick Heal Tech,450,4.34,36.69,3.82,10.8,321,305,254.45,-20.73,303.25,-5.53
